index	image	inferred_page	proposed_page	confidence_score	cand1_page	cand1_score	cand1_text	cand2_page	cand2_score	cand2_text
243	215.jpg	89	89	5.496317834234365	89	5.496317834234365	89	39	0.11568877807587308	39 Maxillaria
313	285.jpg	157	157	5.499224816015955	157	5.499224816015955	157	80	2.1804649833627527	rhizomes that often string out for up to 80 cm. Stem
239	211.jpg	89	89	5.499224816108416	89	5.499224816108416	89	4	0.041289713265335815	District 4
240	212.jpg	89	89	5.530232553475713	89	5.530232553475713	89	4	0.7873321155128696	District 4
85	063.jpg	175	175	5.530232558651614	175	5.530232558651614	175	68	0	68 Encyclia
80	060-2.jpg	172	172	5.560310067118981	172	5.560310067118981	172	68	0.9190995283570591	68 Encyclia
369	341.jpg	213	213	5.561240321054713	213	5.561240321054713	213	79	0	79 Scaphyglottis
237	209.jpg	88	88	5.572906974138236	88	5.572906974138236	88	4	4.000093577318525	District 4
223	195.jpg	77	77	5.611627928195896	77	5.611627928195896	77	32	0.49418606367464535	32 Dichaea
367	339.jpg	211	211	5.619379848520487	211	5.619379848520487	211	79	1.4982944743583402	79. Scaphyglottis Poepp. & Endl.
238	210.jpg	89	89	5.623255809526345	89	5.623255809526345	89	4	0.1779526445842885	District 4
151	123.jpg	20	20	5.738604659231742	20	5.738604659231742	20	6	-1.5	6 Beloglottis
131	103.jpg	11	11	5.738604673346538	11	5.738604673346538	11.5	1	4.994876199469205	nd 1.2
377	349.jpg	221	221	5.7472868235464105	221	5.7472868235464105	221	1	1.118906020638816	white, semiterete, 2.5 mm long, the foot 1 mm long,
307	279.jpg	151	151	5.778294584297051	151	5.778294584297051	151	61	3	61
372	344.jpg	216	216	5.789961238557055	216	5.789961238557055	216	79	1.3662790616531806	79 Scaphyglottis
74	056-2.jpg	168	168	5.8296899193956895	168	5.8296899193956895	168	11	2.2862555211654456	column, up to 11 mm long, lateral lobes appressed to
312	284.jpg	156	156	5.831627905689471	156	5.831627905689471	156	64	0	64 Brassavola
49	040.jpg	40	40	5.833565894000702	40	5.833565894000702	40	16	3.0491702951285173	16 Cranichis
383	355.jpg	227	227	5.9333333334578136	227	5.9333333334578136	227	1	0.46341080374739274	lanceolate, ciliate along margins, 1-nerved, up to 4.5
105	077.jpg	53	53	5.934883797412002	53	5.934883797412002	76, t.53	76	5.934883797412002	76, t.53
183	155.jpg	52	52	5.937248059559518	52	5.937248059559518	52	20	1.861698656460914	20 Vanilla
35	028.jpg	116	116	5.943062014378277	116	5.943062014378277	116	45	1.3420683674926104	45 Stanhopea
222	194.jpg	76	76	5.943062023645528	76	5.943062023645528	76	32	1.1644876248099456	32 Dichaea
15	014-2.jpg	102	102	5.986666657606109	102	5.986666657606109	102	39	0.13121049770708493	39 Maxillaria
321	293.jpg	165	165	6.024418618992602	165	6.024418618992602	165	68	0.3441360954825057	68 Encyclia
231	203.jpg	82	82	6.0312402897945345	82	6.0312402897945345	82	35	1.651785719569615	35 Koellensteinia
216	188.jpg	75	75	6.075775195169706	75	6.075775195169706	75	21	0	bulbs. Stem several, flattened, up to 21 cm long.
384	356.jpg	228	228	6.075813939886993	228	6.075813939886993	228	3	1.8612403044021981	3. Inflo
157	129.jpg	30	30	6.077751953081124	30	6.077751953081124	30	3	1.0525581042175212	hooded in appearance, up to 3 mm wide; lateral
107	079.jpg	3	3	6.081057910064228	3	6.081057910064228	• 3			
126	098.jpg	7	7	6.087460049172684	7	6.087460049172684	.7 cm	1	5.994640493557857	pto 1
373	345.jpg	217	217	6.088372090413211	217	6.088372090413211	217	81	0.0520833246545227	81 Lepanthes
379	351.jpg	223	223	6.088372094310531	223	6.088372094310531	223	84	0	84 Octomeria
185	157.jpg	54	54	6.11844962212744	54	6.11844962212744	54	20	0.5443315244287261	20 Vanilla
46	038.jpg	124	124	6.1213565901312785	124	6.1213565901312785	124	49	2.14819292265111	49 Ionopsis
319	291.jpg	163	163	6.1804263665946735	163	6.1804263665946735	163	67	0.48711799748989426	67 Dimerandra
97	070.jpg	70	70	6.226976751923793	70	6.226976751923793	70	30	2.363595685310782	30 Mormodes
28	022.jpg	22	22	6.237209317736054	22	6.237209317736054	22			
211	183.jpg	71	71	6.243410857304429	71	6.243410857304429	71	30	0	30 Mormodes
381	353.jpg	225	225	6.243410858672961	225	6.243410858672961	225	84	0	84 Octomeria
224	196.jpg	78	78	6.256046513862889	78	6.256046513862889	78	3	4.403875989590732	3
63	047.jpg	47	47	6.281201556327389	47	6.281201556327389	47	3	4.632955007887299	District 3
150	122.jpg	19	19	6.281201566711756	19	6.281201566711756	19	51	2.4285271081406528	51 (1920).
115	087.jpg	236	236	6.283720945643031	236	6.283720945643031	236			
108	080.jpg	230	230	6.376744201290872	230	6.376744201290872	230			
47	039.jpg	125	125	6.398449613308568	125	6.398449613308568	125	49	1.2921627095139887	49 lonopsis
152	124.jpg	23	23	6.427519383988798	23	6.427519383988798	23	1	2.83425564590479	1 ams sieiatia
193	165.jpg	61	61	6.429457368046403	61	6.429457368046403	61	4	1.4119131038322865	Distrito 4
19	016.jpg	104	104	6.46244185624147	104	6.46244185624147	104	9	2.415904333428732	sepals somewhat spreading, up to 1.7 cm long and 0.9
368	340.jpg	212	212	6.472131774564804	212	6.472131774564804	212	79	1.2729913228838263	79 Scaphyglottis
160	132.jpg	33	33	6.490503891404913	33	6.490503891404913	33	15	1.7773641861552374	thick, fleshy roots. Leaves up to 15 cm long, basal,
235	207.jpg	86	86	6.499263568781097	86	6.499263568781097	86	37	2.510475863227951	37 Teuscheria
209	181.jpg	69	69	6.503100798983079	69	6.503100798983079	69	29	0.783730160637075	29 Cycnoches
364	336.jpg	208	208	6.507015495998902	208	6.507015495998902	208	77	2.0203488371892897	77 Ponera
146	118.jpg	258	258	6.516279085177915	258	6.516279085177915	258			
322	294.jpg	167	167	6.522480627622516	167	6.522480627622516	167	68	0	68 Encyclia
42	035.jpg	121	121	6.533139550857024	121	6.533139550857024	121	47	4.220930238765483	47
144	116.jpg	256	256	6.539534898965291	256	6.539534898965291	256			
155	127.jpg	26	26	6.560310087082216	26	6.560310087082216	26	10	2.4142943057606283	10 Mesadenella
386	358.jpg	230	230	6.606821701230393	230	6.606821701230393	230	86	1.475473151568385	86 Pleurothallis
245	217.jpg	91	91	6.638759698795056	91	6.638759698795056	91	39	1.260161587298253	39 Maxillaria
203	175.jpg	66	66	6.649457378457452	66	6.649457378457452	66	28	2.6391606383028785	28 Clowesia
141	113.jpg	256	256	6.6697674266161044	256	6.6697674266161044	256			
226	198.jpg	78	78	6.694030981492511	78	6.694030981492511	78	32	2.5849252897084227	32 Dichaea
106	078.jpg	228	228	6.702325596639708	228	6.702325596639708	228			
117	089.jpg	238	238	6.702325596805824	238	6.702325596805824	238			
143	115.jpg	256	256	6.7023255983999075	256	6.7023255983999075	256			
73	055.jpg	167	167	6.710465120874214	167	6.710465120874214	167	68	1.8749999921990779	68 Encyclia
374	346.jpg	218	218	6.764767439755339	218	6.764767439755339	218	81	2.4563953665392324	81 Lepanthes
371	343.jpg	215	215	6.76860466713609	215	6.76860466713609	215	8	0.4960132854290613	becoming rose-pink with age; sepals concave, up to 8
178	150.jpg	49	49	6.7715116344154715	49	6.7715116344154715	49	17	0.709325389346771	17 Habenaria
200	172.jpg	65	65	6.799612401337948	65	6.799612401337948	65	28	0	28 Clowesia
137	109.jpg	252	252	6.832558124523082	252	6.832558124523082	252			
59	045.jpg	45	45	6.877131795727455	45	6.877131795727455	45	3	4.369418610238061	nistrict 3
99	071.jpg	59	59	6.889302315951884	59	6.889302315951884	59	55	3.848650227943334	55\56 57
25	021-2.jpg	109	109	6.894573651237697	109	6.894573651237697	109	9	2.769612430424433	long and 9 mm wide. Lip abruptly bent above a
62	047-2.jpg	132	132	6.920775188410814	132	6.920775188410814	132	54	3.169878334038223	54 Notylia
65	048.jpg	48	48	6.93143410412163	48	6.93143410412163	48	17	2.9305779792741293	17 Habenaria
196	168.jpg	63	63	6.967248066159343	63	6.967248066159343	63	27	0.841151533682305	27 Catasetum
184	156.jpg	53	53	6.977906980888024	53	6.977906980888024	53	20	0.4912526529506467	20 Vanilla
69	052.jpg	137	137	6.989534879670846	137	6.989534879670846	137	55	1.6073278108871047	55 Oncidium
363	335.jpg	207	207	7.043798456853953	207	7.043798456853953	207	77	1.8005952438180872	77 Ponera
375	347.jpg	219	219	7.057364346557959	219	7.057364346557959	219	10	1.6608265994137765	Plant epiphytic, small, up to 10.4 mm tall. Secondary
206	178.jpg	68	68	7.080658900237197	68	7.080658900237197	68	3	1.9606366068487757	noded, grooved when old, up to 7 cm long and 3.5 cm
179	151.jpg	50	50	7.238604643299217	50	7.238604643299217	50	18	2.0982142827587094	18 Psilochilus
24	020.jpg	108	108	7.262829462128988	108	7.262829462128988	108	42	3.17258677181706	42 Coryanthes
44	037-2.jpg	123	123	7.278294574548879	123	7.278294574548879	123	48	1.5351851850856357	48 Comparettia
