page	image	proposed_source	inferred_page
127	253.jpg	strict_interpolation	127
128	043-2.jpg	ocr_low_confidence	128
128	254.jpg	strict_interpolation	128
129	044-2.jpg	ocr_anchor	129
129	255.jpg	strict_interpolation	129
130	045-2.jpg	ocr_low_confidence	130
130	256.jpg	strict_interpolation	130
131	046-2.jpg	ocr_anchor	131
131	257.jpg	strict_interpolation	131
132	047-2.jpg	ocr_low_confidence	132
132	258.jpg	strict_interpolation	132
133	048-2.jpg	ocr_anchor	133
133	259.jpg	strict_interpolation	133
134	049.jpg	ocr_low_confidence	134
134	260.jpg	strict_interpolation	4
135	050.jpg	ocr_low_confidence	135
135	261.jpg	strict_interpolation	135
136	051.jpg	ocr_low_confidence	136
136	262.jpg	strict_interpolation	136
137	052.jpg	ocr_low_confidence	137
137	263.jpg	strict_interpolation	137
144	270.jpg	ocr_anchor	144
144	271.jpg	ocr_low_confidence	144
151	278.jpg	ocr_anchor	151
151	279.jpg	ocr_low_confidence	151
165	053.jpg	ocr_low_confidence	165
165	293.jpg	ocr_low_confidence	165
167	055.jpg	ocr_low_confidence	167
167	294.jpg	ocr_low_confidence	167
168	056-2.jpg	ocr_low_confidence	168
168	295.jpg	ocr_anchor	168
168	296.jpg	ocr_anchor	168
169	057.jpg	ocr_anchor	169
169	297.jpg	strict_interpolation	169
170	058.jpg	strict_interpolation	170
170	298.jpg	strict_interpolation	170
171	059-2.jpg	ocr_anchor	171
171	299.jpg	strict_interpolation	171
172	060-2.jpg	ocr_low_confidence	172
172	300.jpg	strict_interpolation	172
173	061.jpg	ocr_low_confidence	173
173	301.jpg	strict_interpolation	173
175	063.jpg	ocr_low_confidence	175
175	303.jpg	strict_interpolation	175
176	064-2.jpg	ocr_low_confidence	176
176	304.jpg	ocr_anchor	176
177	065.jpg	ocr_low_confidence	177
177	305.jpg	strict_interpolation	177
178	066-2.jpg	ocr_low_confidence	178
178	306.jpg	strict_interpolation	178
217	067-2.jpg	manual_override	None
217	345.jpg	ocr_low_confidence	217
220	070-2.jpg	manual_override	None
220	348.jpg	ocr_low_confidence	220
222	072.jpg	manual_override	None
222	350.jpg	ocr_low_confidence	222
223	073.jpg	manual_override	None
223	351.jpg	ocr_low_confidence	223
225	075.jpg	manual_override	None
225	353.jpg	ocr_low_confidence	225
226	076.jpg	manual_override	None
226	354.jpg	ocr_low_confidence	226
228	078.jpg	ocr_low_confidence	228
228	356.jpg	ocr_low_confidence	228
230	080.jpg	ocr_low_confidence	230
230	358.jpg	ocr_low_confidence	230
234	084.jpg	manual_override	None
234	085.jpg	manual_override	None
239	090.jpg	manual_override	None
239	091.jpg	manual_override	None
244	096.jpg	manual_override	None
244	097.jpg	manual_override	None
248	101.jpg	manual_override	None
248	102.jpg	manual_override	None
252	106.jpg	manual_override	None
252	109.jpg	ocr_low_confidence	252
255	111.jpg	manual_override	None
255	112.jpg	manual_override	None
256	113.jpg	ocr_low_confidence	256
256	115.jpg	ocr_low_confidence	256
256	116.jpg	ocr_low_confidence	256
